aaron stevens , Boston University , http://people.bu.edu/azs
abraham (ibrahim) matta * , Boston University , http://www.cs.bu.edu/fac/matta
assaf j. kfoury , Boston University , http://www.cs.bu.edu/fac/kfoury
azer bestavros , Boston University , http://azer.bestavros.net
david g. sullivan , Boston University , http://cs-people.bu.edu/dgs
evimaria terzi , Boston University , http://www.cs.bu.edu/fac/evimaria
george kollios , Boston University , http://www.cs.bu.edu/fac/gkollios
hongwei xi , Boston University , http://www.cs.bu.edu/fac/hwxi
ibrahim matta , Boston University , http://www.cs.bu.edu/fac/matta
john keklak , Boston University , http://www.bu.edu/cs/john-keklak
john w. byers , Boston University , http://www.cs.bu.edu/fac/byers
jonathan appavoo , Boston University , http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html
leo (leonid) reyzin , Boston University , http://www.cs.bu.edu/fac/reyzin
leonid levin , Boston University , http://www.bu.edu/cs/leonid-levin
leonid reyzin , Boston University , http://www.cs.bu.edu/fac/reyzin
margrit betke , Boston University , http://www.cs.bu.edu/fac/betke
mark crovella , Boston University , http://www.cs.bu.edu/fac/crovella
nikos triandopoulos , Boston University , http://www.cs.bu.edu/~nikos
orran krieger , Boston University , http://www.bu.edu/cci/okrieg
peter gacs , Boston University , http://www.cs.bu.edu/fac/gacs
ran canetti , Boston University , http://www.cs.bu.edu/%7Ecanetti http://www.cs.bu.edu/~canetti
richard west , Boston University , http://www.cs.bu.edu/fac/richwest
sang (“peter”) chin , Boston University , http://www.cs.bu.edu/faculty/spchin/Welcome.html
sharon goldberg , Boston University , http://www.cs.bu.edu/fac/goldbe
stan sclaroff , Boston University , http://www.cs.bu.edu/fac/sclaroff
steve homer , Boston University , http://www.cs.bu.edu/fac/homer
susan worst , Boston University , http://cs-people.bu.edu/sworst
wayne snyder , Boston University , http://www.cs.bu.edu/fac/snyder
alexander j. hartemink , Duke University , http://www.cs.duke.edu/people/faculty/?csid=917
alvin r. lebeck , Duke University , http://www.cs.duke.edu/people/faculty/?csid=22
andrew hilton , Duke University , http://www.cs.duke.edu/people/faculty/?csid=3797
ashwin machanavajjhala , Duke University , http://www.cs.duke.edu/people/faculty/?csid=3924
barbara e. engelhardt , Duke University , http://www.cs.duke.edu/people/faculty/?csid=3938
benjamin c. lee , Duke University , http://www.cs.duke.edu/people/faculty/?csid=3716
bruce maggs , Duke University , http://www.cs.duke.edu/people/faculty/?csid=2044
bruce r. donald , Duke University , http://www.cs.duke.edu/people/faculty/?csid=1611
carlo tomasi , Duke University , http://www.cs.duke.edu/people/faculty/?csid=920
chris dwyer , Duke University , http://www.cs.duke.edu/people/faculty/?csid=1435
craig henriquez , Duke University , http://www.cs.duke.edu/people/faculty/?csid=916
daniel j. sorin , Duke University , http://www.cs.duke.edu/people/faculty/?csid=1280
debmalya panigrahi , Duke University , http://www.cs.duke.edu/people/faculty/?csid=3929
donald j. rose , Duke University , http://www.cs.duke.edu/people/faculty/?csid=34
guillermo sapiro , Duke University , http://www.cs.duke.edu/people/faculty/?csid=3922
jeffrey r. n. forbes , Duke University , http://www.cs.duke.edu/people/faculty/?csid=565
jeffrey s. chase , Duke University , http://www.cs.duke.edu/people/faculty/?csid=15
john a. board jr. , Duke University , http://www.cs.duke.edu/people/faculty/?csid=14
john h. reif , Duke University , http://www.cs.duke.edu/people/faculty/?csid=31
john harer , Duke University , http://www.cs.duke.edu/people/faculty/?csid=429
jun yang , Duke University , http://www.cs.duke.edu/people/faculty/?csid=918
jungsang kim , Duke University , http://www.cs.duke.edu/people/faculty/?csid=3791
kamesh munagala , Duke University , http://www.cs.duke.edu/people/faculty/?csid=1459
katherine heller , Duke University , http://www.cs.duke.edu/people/faculty/?csid=4393
kishor s. trivedi , Duke University , http://www.cs.duke.edu/people/faculty/?csid=36
krishnendu chakrabarty , Duke University , http://www.cs.duke.edu/people/faculty/?csid=3895
landon cox , Duke University , http://www.cs.duke.edu/people/faculty/?csid=204
mauro maggioni , Duke University , http://www.cs.duke.edu/people/faculty/?csid=1697
owen astrachan , Duke University , http://www.cs.duke.edu/people/faculty/?csid=10
pankaj k. agarwal , Duke University , http://www.cs.duke.edu/people/faculty/?csid=8
raluca-mihaela gordan , Duke University , http://www.cs.duke.edu/people/faculty/?csid=1579
