professor, university, urls
"alan borning", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/borning'>http://www.cs.washington.edu/people/faculty/borning</a>
"alan shaw", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/shaw'>http://www.cs.washington.edu/people/faculty/shaw</a>
"ali farhadi", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/ali'>http://www.cs.washington.edu/people/faculty/ali</a>
"allison obourn", "University of Washington", <a href='http://homes.cs.washington.edu/~aeobourn'>http://homes.cs.washington.edu/~aeobourn</a>
"anna karlin", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/karlin'>http://www.cs.washington.edu/people/faculty/karlin</a>
"anna r. karlin", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/karlin'>http://www.cs.washington.edu/people/faculty/karlin</a>
"anup rao", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/anuprao'>http://www.cs.washington.edu/people/faculty/anuprao</a>
"arvind krishnamurthy", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/arvind'>http://www.cs.washington.edu/people/faculty/arvind</a>
"barbara mones", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/mones'>http://www.cs.washington.edu/people/faculty/mones</a>
"brian curless", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/curless'>http://www.cs.washington.edu/people/faculty/curless</a>
"bruce hemingway", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/bruceh'>http://www.cs.washington.edu/people/faculty/bruceh</a>
"carlos guestrin", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/guestrin'>http://www.cs.washington.edu/people/faculty/guestrin</a>
"dan grossman", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/djg'>http://www.cs.washington.edu/people/faculty/djg</a>
"dan suciu", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/suciu'>http://www.cs.washington.edu/people/faculty/suciu</a>
"dan weld", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/weld'>http://www.cs.washington.edu/people/faculty/weld</a>
"daniel s. weld", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/weld'>http://www.cs.washington.edu/people/faculty/weld</a>
"david wetherall", "University of Washington", <a href='http://djw.cs.washington.edu'>http://djw.cs.washington.edu</a>
"dieter fox", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/fox'>http://www.cs.washington.edu/people/faculty/fox</a>
"ed lazowska", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/lazowska'>http://www.cs.washington.edu/people/faculty/lazowska</a>
"emanuel todorov", "University of Washington", <a href='http://homes.cs.washington.edu/~todorov'>http://homes.cs.washington.edu/~todorov</a>
"gaetano borriello", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/gaetano'>http://www.cs.washington.edu/people/faculty/gaetano</a>
