Input.professor,Input.university,Input.urls,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs,Approve,Reject
ali farhadi,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/ali'>http://www.cs.washington.edu/people/faculty/ali</a>,,University of Illinois at Urbana,,,,Assistant,Computer Education,http://www.cs.washington.edu/people/faculty/ali/,,
allison obourn,University of Washington,<a href='http://homes.cs.washington.edu/~aeobourn'>http://homes.cs.washington.edu/~aeobourn</a>,University of Washington,,,University of Washington,,Lecturer,Computer Education,,,
allison obourn,University of Washington,<a href='http://homes.cs.washington.edu/~aeobourn'>http://homes.cs.washington.edu/~aeobourn</a>,University of Washington,,,University of Washington,,Lecturer,Computer Education,http://homes.cs.washington.edu/~aeobourn/,,
raluca-mihaela gordan,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1579'>http://www.cs.duke.edu/people/faculty/?csid=1579</a>,N/A,Duke University,2011,N/A,Harvard Medical School,Assistant,Bioinformatics & Computational Biology,,,
anup rao,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/anuprao'>http://www.cs.washington.edu/people/faculty/anuprao</a>,GEORGIA INSTITUTE OF TECHNOLOGY,UNIVERSITY OF TEXAS AT AUSTIN,2010,,,Assistant,Computer Education,http://www.cs.washington.edu/people/faculty/anuprao,,
robert a. wagner,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=40'>http://www.cs.duke.edu/people/faculty/?csid=40</a>,Massachusetts Institute of Technology,Carnegie-Mellon University,2006,Carnegie-Mellon University,,Full,Computer Education,http://www.cs.duke.edu/~raw/,,
brian curless,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/curless'>http://www.cs.washington.edu/people/faculty/curless</a>,"University of Texas, Austin",Stanford University,2010,Stanford University,,Full,Graphics,http://homes.cs.washington.edu/~curless/curless_cv.pdf,,
robert calderbank,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3565'>http://www.cs.duke.edu/people/faculty/?csid=3565</a>,Warwick University,California Institute of Technology,,Oxford University,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3565,,
robert fowler,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3570'>http://www.cs.duke.edu/people/faculty/?csid=3570</a>,Harvard College,"University of Washington,",,University of Washington,,Other,Software Engineering,http://www.cs.duke.edu/people/faculty/?csid=3570,,
robert fowler,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3570'>http://www.cs.duke.edu/people/faculty/?csid=3570</a>,Harvard College,University of Washington,,University of Washington,,Adjunct,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3570,,
dan suciu,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/suciu'>http://www.cs.washington.edu/people/faculty/suciu</a>,,University of Pennsylvania,2000,,,Full,Databases,http://www.cs.washington.edu/people/faculty/suciu,,
dan suciu,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/suciu'>http://www.cs.washington.edu/people/faculty/suciu</a>,University of Bucharest,University of Pennsylvania,2000,,,Full,Data Mining,,,
robert l. bryant,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=4408'>http://www.cs.duke.edu/people/faculty/?csid=4408</a>,,,,,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=4408,,
