Input.professor,Input.university,Input.urls,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs,Approve,Reject
aloysius k. mok,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~mok/mok.html'>http://www.cs.utexas.edu/~mok/mok.html</a> or <a href='http://www.cs.utexas.edu/faculty/mok'>http://www.cs.utexas.edu/faculty/mok</a>,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,Massachusetts Institute of Technology,,Full,Algorithms & Theory,https://www.cs.utexas.edu/faculty/mok,,
andrew i. case,New York University,<a href='http://cs.nyu.edu/~acase'>http://cs.nyu.edu/~acase</a>,New York University,,2013,University of Alabama in Huntsville,,Assistant,Scientific Computing,,,
andy wellings,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy</a>,University of York,,1979,,,Full,Programming Languages,http://www.linkedin.com/pub/andy-wellings/5/323/758,,
bhubaneswar mishra,New York University,<a href='http://cs.nyu.edu/cs/faculty/mishra'>http://cs.nyu.edu/cs/faculty/mishra</a>,ECE from IIT (Kgp),"CMU,",N/A,"CMU,",,Adjunct,Computer Education,,,
christoph bregler,New York University,<a href='http://cs.nyu.edu/~bregler'>http://cs.nyu.edu/~bregler</a>,"University of Karlsruhe, Germany","University of California, Berkeley",2002,"University of California, Berkeley",,Full,Multimedia,http://cims.nyu.edu/~bregler/bregler-CV.pdf,,
daniel j. sorin,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1280'>http://www.cs.duke.edu/people/faculty/?csid=1280</a>,Duke University,University of Wisconsin-Madison,,University of Wisconsin-Madison,,Associate,Hardware & Architecture,,,
david g. sullivan,Boston University,<a href='http://cs-people.bu.edu/dgs'>http://cs-people.bu.edu/dgs</a>,Harvard College,Harvard University,2000,Harvard University,,Lecturer,Computer Education,"http://cs-people.bu.edu/dgs/research.html, http://cs-people.bu.edu/dgs/sullivan_cv.pdf",,
donald j. rose,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=34'>http://www.cs.duke.edu/people/faculty/?csid=34</a>,University of California-Berkeley,Harvard University,,Harvard University,,Full,Scientific Computing,http://www.cs.duke.edu/~djr/,,
donald s. fussell,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~fussell'>http://www.cs.utexas.edu/~fussell</a> or <a href='http://www.cs.utexas.edu/faculty/fussell'>http://www.cs.utexas.edu/faculty/fussell</a>,Dartmouth College,University of Texas at Dallas,can't find,University of Texas at Dallas,,Full,Graphics,,,
dr daniel kudenko,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko</a>,"University of Saarland, Saarbruecken",Rutgers University,1993,"University of Saarland, Saarbruecken",,Other,Machine Learning & Pattern Recognition,"http://www-users.cs.york.ac.uk/~kudenko/, http://www-users.cs.york.ac.uk/~kudenko/cv-kudenko-public.pdf",,
