Input.name,University of Washington,University of Washington,University of Washington
1Name,Richard Anderson,Richard Anderson,Richard Anderson
2Name,Ruth E. Anderson,Ruth E. Anderson,Ruth E. Anderson
3Name,Tom Anderson,Tom Anderson,Tom Anderson
4Name,Jean-Loup Baer,Magdalena Balazinska,Jean-Loup Baer
5Name,Magdalena Balazinska,Paul Beame,Magdalena Balazinska
6Name,Paul Beame,Alan Borning,Paul Beame
7Name,Alan Borning,Gaetano Borriello,Alan Borning
8Name,Gaetano Borriello,Maya Cakmak,Gaetano Borriello
9Name,Maya Cakmak,Luis Ceze,Maya Cakmak
10Name,Laura Campbell,Brian Curless,Luis Ceze
11Name,Luis Ceze,Pedro Domingos,Brian Curless
12Name,Brian Curless,Michael Ernst,Tom Daniel
13Name,Tom Daniel,Oren Etzioni,Pedro Domingos
14Name,Pedro Domingos,Ali Farhadi,Laura Campbell
15Name,Susan Eggers,James Fogarty,Susan Eggers
16Name,Michael Ernst,Dieter Fox,Michael Ernst
17Name,Oren Etzioni,Shyam Gollakota,Oren Etzioni
18Name,Ali Farhadi,Steven D. Gribble,Ali Farhadi
19Name,James Fogarty,Dan Grossman,James Fogarty
20Name,Dieter Fox,Carlos Guestrin,Dieter Fox
21Name,Hellmut Golde,Jeffrey Heer,Shyam Gollakota
22Name,Shyam Gollakota,Anna R. Karlin,Steven D. Gribble
23Name,Steve Gribble,Ira Kemelmacher-Shlizerman,Dan Grossman
24Name,Dan Grossman,Tadayoshi Kohno,Carlos Guestrin
25Name,Carlos Guestrin,Arvind Krishnamurthy,Jeffrey Heer
26Name,Jeffrey Heer,Richard Ladner,Bruce Hemingway
27Name,Bruce Hemingway,James A. Landay,Anna R. Karlin
28Name,Anna Karlin,Su-In Lee,Ted Kehl
29Name,Ted Kehl,Barbara Mones,Ira Kemelmacher-Shlizerman
30Name,Ira Kemelmacher-Shlizerman,Shwetak Patel,Tadayoshi Kohno
31Name,Tadayoshi Kohno,Zoran Popović,Arvind Krishnamurthy
32Name,Arvind Krishnamurthy,Anup Rao,Richard Ladner
33Name,Richard E. Ladner,Steven Seitz,James A. Landay
34Name,James Landay,Linda Shapiro,Ed Lazowska
35Name,Ed Lazowska,Larry Snyder,James Lee
36Name,James Lee,Dan Suciu,SU-IN LEE
37Name,Su-In Lee,Zachary Tatlock,Henry M. Levy
38Name,Hank Levy,Martin Tompa,
39Name,Hélène Martin,Dan Weld,
40Name,Barbara Mones,David Wetherall,
41Name,Allison Obourn,Luke Zettlemoyer,
42Name,Mark Oskin,,
43Name,Shayan Oveis Gharan,,
44Name,Shwetak Patel,,
45Name,Hal Perkins,,
46Name,Zoran Popović,,
47Name,Anup Rao,,
48Name,Rajesh Rao,,
49Name,Stuart Reges,,
50Name,Matt Reynolds,,
51Name,Larry Ruzzo,,
52Name,Georg Seelig,,
53Name,Steven Seitz,,
54Name,Linda Shapiro,,
55Name,Alan Shaw,,
56Name,Joshua R. Smith,,
57Name,Larry Snyder,,
58Name,Dan Suciu,,
59Name,Steve Tanimoto,,
60Name,Zachary Tatlock,,
61Name,Emanuel Todorov,,
62Name,Martin Tompa,,
63Name,Daniel S. Weld,,
64Name,David Wetherall,,
65Name,John Zahorjan,,
66Name,Luke Zettlemoyer,,
67Name,,,
68Name,,,
69Name,,,
70Name,,,
71Name,,,
72Name,,,
73Name,,,
74Name,,,
75Name,,,
76Name,,,
77Name,,,
78Name,,,
79Name,,,
80Name,,,
81Name,,,
82Name,,,
83Name,,,
84Name,,,
85Name,,,
86Name,,,
87Name,,,
88Name,,,
89Name,,,
90Name,,,
91Name,,,
92Name,,,
93Name,,,
94Name,,,
95Name,,,
96Name,,,
97Name,,,
98Name,,,
99Name,,,
100Name,,,
