Input.name,University of Washington,University of Washington,University of Washington
1Name,Richard Anderson,Richard Anderson,Richard Anderson
1Url,https://www.cs.washington.edu/people/faculty/anderson/,https://www.cs.washington.edu/people/faculty/anderson/,https://www.cs.washington.edu/people/faculty/anderson/
2Name,Ruth E. Anderson,Ruth E. Anderson,Ruth E. Anderson
2Url,http://homes.cs.washington.edu/~rea,http://homes.cs.washington.edu/~rea/,http://homes.cs.washington.edu/~rea/
3Name,Tom Anderson,Tom Anderson,Tom Anderson
3Url,http://www.cs.washington.edu/people/faculty/tom/,http://www.cs.washington.edu/people/faculty/tom/,http://www.cs.washington.edu/people/faculty/tom/
4Name,Jean-Loup Baer,Magdalena Balazinska,Jean-Loup Baer
4Url,http://homes.cs.washington.edu/~baer/,http://www.cs.washington.edu/people/faculty/magda/,http://homes.cs.washington.edu/~baer/
5Name,Magdalena Balazinska,Paul Beame,Magdalena Balazinska
5Url,http://www.cs.washington.edu/people/faculty/magda/,http://www.cs.washington.edu/people/faculty/beame/,http://www.cs.washington.edu/people/faculty/magda/
6Name,Paul Beame,Alan Borning,Paul Beame
6Url,http://www.cs.washington.edu/people/faculty/beame/,http://www.cs.washington.edu/people/faculty/borning/,http://www.cs.washington.edu/people/faculty/beame/
7Name,Alan Borning,Gaetano Borriello,Alan Borning
7Url,http://www.cs.washington.edu/people/faculty/borning/,https://www.cs.washington.edu/people/faculty/gaetano,http://www.cs.washington.edu/people/faculty/borning/
8Name,Gaetano Borriello,Maya Cakmak,Gaetano Borriello
8Url,https://www.cs.washington.edu/people/faculty/gaetano,http://www.mayacakmak.com/home,https://www.cs.washington.edu/people/faculty/gaetano
9Name,Maya Cakmak,Luis Ceze,Maya Cakmak
9Url,http://www.mayacakmak.com/home,http://www.cs.washington.edu/people/faculty/luisceze,http://www.mayacakmak.com/home
10Name,Laura Campbell,Brian Curless,Luis Ceze
10Url,http://www.cs.washington.edu/people/faculty/campbell,http://www.cs.washington.edu/people/faculty/curless,http://www.cs.washington.edu/people/faculty/luisceze
11Name,Luis Ceze,Pedro Domingos,Brian Curless
11Url,http://www.cs.washington.edu/people/faculty/luisceze,http://www.cs.washington.edu/people/faculty/pedrod/,http://www.cs.washington.edu/people/faculty/curless
12Name,Brian Curless,Michael Ernst,Tom Daniel
12Url,http://www.cs.washington.edu/people/faculty/curless,http://www.cs.washington.edu/people/faculty/mernst/,https://www.cs.washington.edu/people/faculty/danielt/
13Name,Tom Daniel,Oren Etzioni,Pedro Domingos
13Url,https://www.cs.washington.edu/people/faculty/danielt/,http://homes.cs.washington.edu/~etzioni/,http://www.cs.washington.edu/people/faculty/pedrod/
14Name,Pedro Domingos,Ali Farhadi,Laura Campbell
14Url,http://www.cs.washington.edu/people/faculty/pedrod/,http://www.cs.washington.edu/people/faculty/ali/,http://www.cs.washington.edu/people/faculty/campbell
15Name,Susan Eggers,James Fogarty,Susan Eggers
15Url,http://www.cs.washington.edu/people/faculty/eggers/,http://www.cs.washington.edu/people/faculty/jfogarty/,http://www.cs.washington.edu/people/faculty/eggers/
16Name,Michael Ernst,Dieter Fox,Michael Ernst
